1	deserving or inciting pity	hapless|miserable|misfortunate|pathetic|piteous|pitiable|pitiful|poor
2	offensively malodorous	fetid|foetid|foul|foul-smelling|funky|noisome|smelly|stinking
3	given or giving freely	big|bighearted|bounteous|bountiful|freehanded|handsome|giving|liberal
4	very good	bang-up|bully|corking|cracking|dandy|great|groovy|keen
5	extremely evil or cruel	demonic|diabolic|diabolical|fiendish|hellish|infernal|satanic|unholy
6	annoyed and irritable	crabbed|crabby|cross|fussy|grouchy|grumpy|bad-tempered|ill-tempered
7	easily irritated or annoyed	cranky|fractious|irritable|nettlesome|peevish|peckish|pettish|petulant
8	showing a brooding ill humor	dark|dour|glowering|glum|moody|morose|saturnine|sour
9	(used of statements) harmful and often untrue	calumniatory|calumnious|defamatory|denigrative|denigrating|denigratory|libellous|libelous
10	marked by deliberate deceptiveness especially by pretending one set of feelings and acting under the influence of another	ambidextrous|deceitful|double-dealing|duplicitous|Janus-faced|two-faced|double-faced|double-tongued
11	occurring with or following as a consequence	attendant|consequent|accompanying|concomitant|incidental|ensuant|resultant|sequent
12	(informal) small and of little importance	fiddling|footling|lilliputian|little|niggling|piddling|piffling|petty
13	so lacking in interest as to cause mental weariness	boring|deadening|dull|ho-hum|irksome|slow|tedious|tiresome
14	widely known and esteemed	celebrated|famed|far-famed|famous|illustrious|notable|noted|renowned
15	(used informally) very small	bitty|bittie|teensy|teentsy|teeny|wee|weeny|weensy
16	having or covered with protective barbs or quills or spines or thorns or setae etc.	barbed|barbellate|briary|briery|bristled|bristly|burred|burry
17	marked by skill in deception	crafty|cunning|dodgy|foxy|guileful|knavish|slick|sly
18	without qualification	arrant(a)|complete(a)|consummate(a)|double-dyed(a)|everlasting(a)|gross(a)|perfect(a)|pure(a)
19	unrestrained by convention or morality	debauched|degenerate|degraded|dissipated|dissolute|libertine|profligate|riotous
20	unrestrained by convention or propriety	audacious|barefaced|bodacious|bald-faced|brassy|brazen|brazen-faced|insolent
21	more than is needed, desired, or required	excess|extra|redundant|spare|supererogatory|superfluous|supernumerary|surplus
22	of high moral or intellectual value	exalted|elevated|sublime|grand|high-flown|high-minded|lofty|rarefied
23	highly offensive	disgusting|disgustful|distasteful|foul|loathly|loathsome|repellent|repellant
24	showing characteristics of age, especially having grey or white hair	grey|gray|grey-haired|gray-haired|grey-headed|gray-headed|grizzly|hoar
25	extraordinarily good or great	fantastic|grand|howling(a)|marvelous|marvellous|rattling(a)|terrific|tremendous
26	repeated too often	banal|commonplace|hackneyed|old-hat|shopworn|stock(a)|threadbare|timeworn
27	conducted with or marked by hidden aims or methods	clandestine|cloak-and-dagger|hole-and-corner(a)|hugger-mugger|hush-hush|secret|surreptitious|undercover
28	slanted across a polygon on a diagonal line	catacorner|cata-cornered|catercorner|cater-cornered|catty-corner|catty-cornered|kitty-corner|kitty-cornered
29	in an advanced stage of pregnancy	big(p)|enceinte|expectant|gravid|great(p)|large(p)|heavy(p)|with child(p)
30	having or demonstrating ability to recognize or draw fine distinctions	acute|discriminating|incisive|keen|knifelike|penetrating|penetrative|piercing
31	continuing forever or indefinitely	ageless|aeonian|eonian|eternal|everlasting|perpetual|unending|unceasing
32	perplexed by many conflicting situations or statements	baffled|befuddled|bemused|bewildered|confounded|confused|lost|mazed
33	harsh or corrosive in tone	acerb|acerbic|acid|acrid|bitter|blistering|caustic|sulfurous
34	aroused to impatience or anger	annoyed|irritated|miffed|nettled|peeved|pissed|pissed off|riled
35	with little or no preparation or forethought	ad-lib|extemporaneous|extemporary|extempore|impromptu|offhand|offhanded|off-the-cuff
36	exaggeratedly proper	priggish|prim|prissy|prudish|puritanical|square-toed|straitlaced|strait-laced
37	(used colloquially) overly conceited or arrogant	bigheaded|persnickety|snooty|snot-nosed|snotty|stuck-up|too big for one's breeches|uppish
38	exhibiting self-importance	boastful|braggart(a)|bragging(a)|braggy|big|cock-a-hoop|crowing|self-aggrandizing
39	having or showing arrogant superiority to and disdain of those one views as unworthy	disdainful|haughty|imperious|lordly|overbearing|prideful|sniffy|supercilious
40	causing fear or dread or terror	awful|dire|direful|dread(a)|dreaded|dreadful|fearful|fearsome
41	threatening or foreshadowing evil or tragic developments	baleful|forbidding|menacing|minacious|minatory|ominous|sinister|threatening
42	marked by firm determination or resolution	firm|steadfast|steady|stiff|unbendable|unfaltering|unshakable|unwavering
43	in fortunate circumstances financially	comfortable|easy|prosperous|well-fixed|well-heeled|well-off|well-situated|well-to-do
44	ostentatiously rich and superior in quality	deluxe|gilded|grand|luxurious|opulent|princely|sumptuous|lush
45	lacking bodily or muscular strength or vitality	decrepit|debile|feeble|infirm|rickety|sapless|weak|weakly
46	rounded like an egg	egg-shaped|elliptic|elliptical|oval|oval-shaped|ovate|oviform|ovoid
47	improperly forward or bold	fresh|impertinent|impudent|overbold|smart|saucy|sassy|wise
48	informal or slang terms for mentally irregular	balmy|barmy|bats|batty|bonkers|buggy|cracked|crackers
49	affected with madness or insanity	brainsick|crazy|demented|disturbed|mad|sick|unbalanced|unhinged
50	lacking seriousness	airheaded|dizzy|empty-headed|featherbrained|giddy|light-headed|lightheaded|silly
51	naughtily or annoyingly playful	arch|impish|implike|mischievous|pixilated|prankish|puckish|wicked
52	suggestive of sexual impropriety	blue|gamy|gamey|juicy|naughty|racy|risque|spicy
53	(of a woman's body) having a large bosom and pleasing curves	bosomy|busty|buxom|curvaceous|curvy|full-bosomed|sonsie|sonsy
54	in the shape of a coil	coiling|helical|spiral|spiraling|volute|voluted|whorled|turbinate
55	of the highest quality	ace|A-one|crack|first-rate|super|tiptop|topnotch|top-notch
56	of very poor quality	bum|cheap|cheesy|chintzy|crummy|punk|sleazy|tinny
57	serving to support or corroborate	collateral|confirmative|confirming|confirmatory|corroborative|corroboratory|substantiating|substantiative
58	having an allergy or peculiar or excessive susceptibility (especially to a specific factor)	allergic|hypersensitive|hypersensitized|hypersensitised|sensitized|sensitised|supersensitive|supersensitized
59	tastelessly showy	brassy|cheap|flash|flashy|garish|gaudy|gimcrack|loud
60	full of flavor	flavorful|flavourful|flavorous|flavourous|flavorsome|flavoursome|sapid|saporous
61	lacking taste or flavor or tang	bland|flat|flavorless|flavourless|insipid|savorless|savourless|vapid
62	being in a tense state	edgy|high-strung|highly strung|jittery|jumpy|nervy|overstrung|restive
63	so thin as to transmit light	diaphanous|filmy|gauzy|gauze-like|gossamer|see-through|sheer|transparent
64	deeply or seriously thoughtful	brooding|broody|contemplative|meditative|musing|pensive|pondering|reflective
65	drained of energy or effectiveness	exhausted|dog-tired|fagged|fatigued|played out|spent|washed-out|worn-out(a)
66	resembling a fork	bifurcate|biramous|branched|forked|fork-like|forficate|pronged|prongy
67	somewhat ill or prone to illness	ailing|indisposed|peaked(p)|poorly(p)|sickly|unwell|under the weather|seedy
68	(of soil) soft and watery	boggy|marshy|miry|mucky|muddy|quaggy|sloppy|sloughy
69	causing or able to cause nausea	nauseating|nauseous|noisome|queasy|loathsome|offensive|sickening|vile
70	so unreasonable as to invite derision	absurd|cockeyed|derisory|idiotic|laughable|ludicrous|nonsensical|preposterous
71	having brief brilliant points or flashes of light	aglitter(p)|coruscant|fulgid|glinting|glistering|glittering|glittery|scintillant
72	of or relating to or supporting Romanism	Roman|R.C.|Romanist|romish|Roman Catholic|popish|papist|papistic
73	too numerous to be counted	countless|infinite|innumerable|innumerous|multitudinous|myriad|numberless|uncounted
74	causing dejection	blue|dark|dingy|disconsolate|dismal|gloomy|grim|sorry
75	of a color at the end of the color spectrum (next to orange)	red|reddish|ruddy|blood-red|carmine|cerise|cherry|cherry-red
76	of the color of slate or granite	slate-grey|slate-gray|slaty-grey|slaty-gray|slaty|slatey|stone-grey|stone-gray
77	having sections or patches colored differently and usually brightly	motley|calico|multicolor|multi-color|multicolour|multi-colour|multicolored|multi-colored
78	confused and vague	addled|befuddled|muddled|muzzy|woolly|wooly|woolly-headed|wooly-minded
79	having or revealing stupidity	anserine|dopy|dopey|foolish|goosey|goosy|gooselike|jerky
80	(used informally) stupid	blockheaded|boneheaded|duncical|duncish|fatheaded|loggerheaded|thick|thickheaded
81	dressed in fancy or formal clothing	dressed(p)|dressed-up|dressed to the nines(p)|dressed to kill(p)|dolled up|spruced up|spiffed up|togged up
82	(used informally) completely unclothed	bare-assed|bare-ass|in the altogether|in the buff|in the raw|raw|peeled|naked as a jaybird
83	lacking orderly continuity	confused|disconnected|disjointed|disordered|garbled|illogical|scattered|unconnected
84	eminent beyond or above comparison	matchless|nonpareil|one(a)|one and only(a)|peerless|unmatched|unmatchable|unrivaled
85	broad in scope or content	across-the-board|all-embracing|all-encompassing|all-inclusive|blanket(a)|broad|encompassing|extensive
86	having the sticky properties of an adhesive	gluey|glutinous|gummy|mucilaginous|pasty|sticky|viscid|viscous
87	being determined by conditions or circumstances that follow	contingent|contingent on(p)|contingent upon(p)|dependent on(p)|dependant on(p)|dependent upon(p)|dependant upon(p)|depending on(p)
88	conspicuously or grossly unconventional or unusual	bizarre|eccentric|freakish|freaky|flaky|flakey|gonzo|off-the-wall
89	resembling a tree in form and branching structure	arboreal|arboreous|arborescent|arboresque|arboriform|dendriform|dendroid|dendroidal
90	large in amount or extent or degree	goodly|goodish|healthy|hefty|respectable|sizable|sizeable|tidy
91	lacking physical movement skills, especially with the hands	bumbling|bungling|butterfingered|ham-fisted|ham-handed|handless|heavy-handed|left-handed
92	expletives used informally as intensifiers	blasted|blame|blamed|blessed|damn|damned|darned|deuced
93	filled with melancholy and despondency	gloomy|grim|blue|depressed|dispirited|down(p)|downcast|downhearted
94	characterized by directness in manner or speech	blunt|candid|forthright|frank|free-spoken|outspoken|plainspoken|point-blank
95	very drunk	besotted|blind drunk|blotto|crocked|cockeyed|fuddled|loaded|pie-eyed
96	characterized by effort to the point of exhaustion	arduous|backbreaking|grueling|gruelling|hard|heavy|laborious|operose
97	effusively or insincerely emotional	bathetic|drippy|hokey|maudlin|mawkish|kitschy|mushy|schmaltzy
98	based primarily on surmise rather than adequate evidence	conjectural|divinatory|hypothetical|hypothetic|supposed|suppositional|suppositious|supposititious
99	having your attention fixated as though by a spell	fascinated|hypnotized|hypnotised|mesmerized|mesmerised|spellbound|spell-bound|transfixed
100	quick and energetic	alert|brisk|lively|merry|rattling|snappy|spanking|zippy
101	causing irritation or annoyance	annoying|bothersome|galling|irritating|nettlesome|pesky|pestering|pestiferous
102	not made explicit	unexpressed|unsaid|unstated|unuttered|unverbalized|unverbalised|unvoiced|unspoken
103	beyond or deviating from the usual or expected	curious|funny|odd|peculiar|queer|rum|rummy|singular
104	marked by up-to-dateness in dress and manners	dapper|dashing|jaunty|natty|raffish|rakish|spiffy|snappy
105	out of fashion	antique|demode|ex|old-fashioned|old-hat(p)|outmoded|passe|passee
106	being very thin	scraggy|scraggly|boney|bony|scrawny|skinny|underweight|weedy
107	a man who is much concerned with his dress and appearance	dandy|dude|fop|gallant|sheik|beau|swell|fashion plate
108	a stupid person	dunce|dunderhead|numskull|blockhead|bonehead|lunkhead|hammerhead|knucklehead
109	an illusory feat	magic trick|conjuring trick|trick|magic|legerdemain|conjuration|thaumaturgy|illusion
110	offensive term for a homosexual man	fagot|faggot|fag|fairy|nance|pansy|queen|queer
111	someone acting as an informer or decoy for the police	fink|snitch|snitcher|stoolpigeon|stool pigeon|stoolie|sneak|sneaker
112	a professional killer who uses a gun	gunman|gunslinger|hired gun|gun|gun for hire|triggerman|hit man|hitman
113	a man who is a stupid incompetent fool	fathead|goof|goofball|bozo|jackass|goose|cuckoo|twat
114	an aggressive and violent young criminal	hood|hoodlum|goon|punk|thug|tough|toughie|strong-armer
115	a person who makes deceitful pretenses	imposter|impostor|pretender|fake|faker|fraud|sham|shammer
116	a person employed to keep watch for some anticipated event	lookout|lookout man|sentinel|sentry|watch|spotter|scout|picket
117	an awkward stupid person	lout|clod|stumblebum|goon|oaf|lubber|lummox|lump
118	informal terms for a mother	ma|mama|mamma|mom|momma|mommy|mammy|mum
119	a man who serves as a sailor	mariner|seaman|tar|Jack-tar|Jack|old salt|seafarer|gob
120	any new participant in some activity	newcomer|fledgling|fledgeling|starter|neophyte|freshman|newbie|entrant
121	a woman who engages in sexual intercourse for money	prostitute|cocotte|whore|harlot|bawd|tart|cyprian|fancy woman
122	a person who is deemed to be despicable or contemptible	rotter|dirty dog|rat|skunk|stinker|stinkpot|bum|puke
123	a very attractive or seductive looking woman	smasher|stunner|knockout|beauty|ravisher|sweetheart|peach|lulu
124	a laborer who loads and unloads vessels in a port	stevedore|loader|longshoreman|docker|dockhand|dock worker|dockworker|dock-walloper
125	a person who is not very bright	stupid|stupid person|stupe|dullard|dolt|pudding head|pudden-head|poor fish
126	someone who drives a taxi for a living	taxidriver|taximan|cabdriver|cabman|cabby|hack driver|hack-driver|livery driver
127	a person given to excessive complaints and crying and whining	whiner|complainer|moaner|sniveller|crybaby|bellyacher|grumbler|squawker
128	(Roman Catholic Church) English monk and scholar (672-735)	Bede|Saint Bede|St. Bede|Baeda|Saint Baeda|St. Baeda|Beda|Saint Beda
129	German mystic and theosophist who founded modern theosophy	Boehme|Jakob Boehme|Bohme|Jakob Bohme|Boehm|Jakob Boehm|Behmen|Jakob Behmen
130	Irish abbess	Bridget|Saint Bridget|St. Bridget|Brigid|Saint Brigid|St. Brigid|Bride|Saint Bride
131	Flemish painter of landscapes (1525-1569)	Brueghel|Breughel|Bruegel|Pieter Brueghel|Pieter Breughel|Pieter Bruegel|Breughel the Elder|Pieter Brueghel the Elder
132	43rd President of the United States	Bush|George Bush|George W. Bush|George Walker Bush|President Bush|President George W. Bush|Dubyuh|Dubya
133	Russian novelist who wrote of human suffering with humor and psychological insight (1821-1881)	Dostoyevsky|Dostoevski|Dostoevsky|Feodor Dostoyevsky|Fyodor Dostoyevsky|Feodor Dostoevski|Fyodor Dostoevski|Feodor Dostoevsky
134	English comedienne and mistress of Charles II (1650-1687)	Gwynn|Gywn|Gynne|Nell Gwynn|Nell Gywn|Nell Gwynne|Eleanor Gwynn|Eleanor Gwyn
135	a teacher and prophet born in Bethlehem and active in Nazareth	Jesus|Jesus of Nazareth|the Nazarene|Jesus Christ|Christ|Savior|Saviour|Good Shepherd
136	Venezuelan master terrorist raised by a Marxist-Leninist father	Sanchez|Ilich Sanchez|Ilich Ramirez Sanchez|Carlos|Carlos the Jackal|Salim|Andres Martinez|Taurus
137	(New Testament) a Christian missionary to the Gentiles	Paul|Saint Paul|St. Paul|Apostle Paul|Paul the Apostle|Apostle of the Gentiles|Saul|Saul of Tarsus
138	helping someone grow up to be an accepted member of the community	breeding|bringing up|fostering|fosterage|nurture|raising|rearing|upbringing
139	English theologian whose objections to Roman Catholic doctrine anticipated the Protestant Reformation (1328-1384)	Wycliffe|John Wycliffe|Wickliffe|John Wickliffe|Wyclif|John Wyclif|Wiclif|John Wiclif
140	a column of light (as from a beacon)	beam|beam of light|light beam|ray|ray of light|shaft|shaft of light|irradiation
141	an electrical discharge accompanied by ionization of surrounding atmosphere	corona discharge|corona|corposant|St. Elmo's fire|Saint Elmo's fire|Saint Elmo's light|Saint Ulmo's fire|Saint Ulmo's light
142	tall herb of eastern North America and Asia having blue berrylike fruit and a thick knotty rootstock formerly used medicinally	blue cohosh|blueberry root|papooseroot|papoose root|squawroot|squaw root|Caulophyllum thalictrioides|Caulophyllum thalictroides
143	Pacific coast tree having aromatic foliage and small umbellate flowers followed by olivelike fruit	California laurel|California bay tree|Oregon myrtle|pepperwood|spice tree|sassafras laurel|California olive|mountain laurel
144	short hairy perennial with early spring blue-violet or lilac flowers	American pasqueflower|Eastern pasque flower|wild crocus|lion's beard|prairie anemone|blue tulip|American pulsatilla|Pulsatilla patens
145	tropical American thorny shrub or small tree	huisache|cassie|mimosa bush|sweet wattle|sweet acacia|scented wattle|flame tree|Acacia farnesiana
146	commonly cultivated Old World woody herb having large pinkish to red flowers	periwinkle|rose periwinkle|Madagascar periwinkle|old maid|Cape periwinkle|red periwinkle|cayenne jasmine|Catharanthus roseus
147	tropical shrub having glossy foliage and fragrant nocturnal flowers with crimped or wavy corollas	crape jasmine|crepe jasmine|crepe gardenia|pinwheel flower|East Indian rosebay|Adam's apple|Nero's crown|coffee rose
148	tall showy tropical American annual having hairy stems and long spikes of usually red flowers above leaves deeply flushed with purple	prince's-feather|gentleman's-cane|prince's-plume|red amaranth|purple amaranth|Amaranthus cruentus|Amaranthus hybridus hypochondriacus|Amaranthus hybridus erythrostachys
149	European grass spreading rapidly by creeping rhizomes	dog grass|couch grass|quackgrass|quack grass|quick grass|witch grass|witchgrass|Agropyron repens
150	trailing grass native to Europe now cosmopolitan in warm regions	Bermuda grass|devil grass|Bahama grass|kweek|doob|scutch grass|star grass|Cynodon dactylon
151	East Indian cereal grass whose seed yield a somewhat bitter flour, a staple in the Orient	finger millet|ragi|ragee|African millet|coracan|corakan|kurakkan|Eleusine coracana
152	valuable fiber plant of East Indies now widespread in cultivation	kenaf|kanaf|deccan hemp|bimli|bimli hemp|Indian hemp|Bombay hemp|Hibiscus cannabinus
153	large tree of Australasia	red beech|brown oak|booyong|crow's foot|stave wood|silky elm|Heritiera trifoliolata|Terrietia trifoliolata
154	evergreen mat-forming shrub of North America and northern Eurasia having small white flowers and red berries	common bearberry|red bearberry|wild cranberry|mealberry|hog cranberry|sand berry|sandberry|mountain box
155	creeping shrub of eastern North America having white bell-shaped flowers followed by spicy red berrylike fruit and shiny aromatic leaves that yield wintergreen 	teaberry|wintergreen|checkerberry|mountain tea|groundberry|ground-berry|creeping wintergreen|Gaultheria procumbens
156	a very prickly woody vine of the eastern United States growing in tangled masses having tough round stems with shiny leathery leaves and small greenish flowers 	bullbrier|greenbrier|catbrier|horse brier|horse-brier|brier|briar|Smilax rotundifolia
157	erect shrub having racemes of tawny yellow flowers	Alexandria senna|Alexandrian senna|true senna|tinnevelly senna|Indian senna|Senna alexandrina|Cassia acutifolia|Cassia augustifolia
158	tropical woody herb with showy yellow flowers and flat pods	pigeon pea|pigeon-pea plant|cajan pea|catjang pea|red gram|dhal|dahl|Cajanus cajan
159	small Eurasian shrub having clusters of yellow flowers that yield a dye	woodwaxen|dyer's greenweed|dyer's-broom|dyeweed|greenweed|whin|woadwaxen|Genista tinctoria
160	erect bushy hairy annual herb having trifoliate leaves and purple to pink flowers	soy|soya|soybean|soya bean|soybean plant|soja|soja bean|Glycine max
161	the annual woody vine of Asia having long clusters of purplish flowers and densely hairy pods	cowage|velvet bean|Bengal bean|Benghal bean|Florida bean|Mucuna pruriens utilis|Mucuna deeringiana|Mucuna aterrima
162	seed of the mung bean plant	mung|mung bean|green gram|golden gram|moong|mash bean|munggo|monggo
163	European weed naturalized in southwestern United States and Mexico having reddish decumbent stems with small fernlike leaves and small deep reddish-lavender flo	redstem storksbill|alfilaria|alfileria|filaree|filaria|clocks|pin grass|pin clover
164	tree of northern India and China having purple blossoms and small inedible yellow fruits	chinaberry|chinaberry tree|China tree|Persian lilac|pride-of-India|azederach|azedarach|Melia azederach
165	tropical American tree bearing a small edible fruit with green leathery skin and sweet juicy translucent pulp	Spanish lime|Spanish lime tree|honey berry|mamoncillo|genip|ginep|Melicocca bijuga|Melicocca bijugatus
166	twining shrub of North America having yellow capsules enclosing scarlet seeds	bittersweet|American bittersweet|climbing bittersweet|false bittersweet|staff vine|waxwork|shrubby bittersweet|Celastrus scandens
167	small Asiatic tree yielding a toxic exudate from which lacquer is obtained	varnish tree|lacquer tree|Chinese lacquer tree|Japanese lacquer tree|Japanese varnish tree|Japanese sumac|Toxicodendron vernicifluum|Rhus verniciflua
168	weedy nightshade with silvery foliage and violet or blue or white flowers	trompillo|white horse nettle|prairie berry|purple nightshade|silverleaf nightshade|silver-leaved nightshade|silver-leaved nettle|Solanum elaeagnifolium
169	cassava with long tuberous edible roots and soft brittle stems	bitter cassava|manioc|mandioc|mandioca|tapioca plant|gari|Manihot esculenta|Manihot utilissima
170	erect perennial of eastern and southern United States having showy orange flowers	butterfly weed|orange milkweed|chigger flower|chiggerflower|pleurisy root|tuber root|Indian paintbrush|Asclepias tuberosa
171	informal terms for money	boodle|bread|cabbage|clams|dinero|dough|gelt|kale
172	a piece of paper money (especially one issued by a central bank)	bill|note|government note|bank bill|banker's bill|bank note|banknote|Federal Reserve note
173	the formation of blood cells in the living body (especially in the bone marrow)	hematopoiesis|haematopoiesis|hemopoiesis|haemopoiesis|hemogenesis|haemogenesis|hematogenesis|haematogenesis
